Activity,Trigger,Target,Type
FlightOperations,SpecialProcedure,GroundSoftware,Assignment_Initialization
FlightOperations,SpecialProcedure,FlightSoftware,Assignment_Initialization
SystemTest,Inspection_Review,InformationDevelopment,Procedures
FlightOperations,HardwareFailure,InformationDevelopment,Procedures
SystemTest,CmdSeqTest,FlightSoftware,Function_Algorithm
FlightOperations,HardwareFailure,FlightSoftware,Function_Algorithm
FlightOperations,SpecialProcedure,InformationDevelopment,Procedures
FlightOperations,SpecialProcedure,None_Unknown,NothingFixed
FlightOperations,NormalActivity,GroundResources,ResourceConflict
FlightOperations,DataAccess_Delivery,GroundSoftware,Function_Algorithm
FlightOperations,NormalActivity,GroundSoftware,Interfaces
SystemTest,CmdSeqTest,GroundSoftware,Assignment_Initialization
SystemTest,CmdSeqTest,GroundSoftware,Function_Algorithm
SystemTest,CmdSeqTest,GroundSoftware,Function_Algorithm
FlightOperations,NormalActivity,InformationDevelopment,Procedures
SystemTest,CmdSeqTest,GroundSoftware,Function_Algorithm
SystemTest,SoftwareConfiguration,InformationDevelopment,Procedures
SystemTest,CmdSeqTest,FlightSoftware,Assignment_Initialization
SystemTest,CmdSeqTest,GroundSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
Unknown,Unknown,None_Unknown,NothingFixed
FlightOperations,NormalActivity,FlightSoftware,Assignment_Initialization
SystemTest,SoftwareConfiguration,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
SystemTest,SoftwareConfiguration,GroundSoftware,Interfaces
SystemTest,HardwareConfiguration,None_Unknown,NothingFixed
FlightOperations,SpecialProcedure,InformationDevelopment,Procedures
SystemTest,Inspection_Review,InformationDevelopment,Procedures
FlightOperations,Recovery,FlightSoftware,FlightRule
FlightOperations,Recovery,FlightSoftware,Function_Algorithm
SystemTest,Inspection_Review,GroundSoftware,Function_Algorithm
FlightOperations,Recovery,InformationDevelopment,Documentation
FlightOperations,NormalActivity,FlightSoftware,Assignment_Initialization
Unknown,Unknown,None_Unknown,NothingFixed
FlightOperations,Recovery,FlightSoftware,Function_Algorithm
FlightOperations,Recovery,FlightSoftware,Function_Algorithm
FlightOperations,HardwareFailure,None_Unknown,NothingFixed
FlightOperations,SpecialProcedure,InformationDevelopment,Procedures
FlightOperations,NormalActivity,InformationDevelopment,Procedures
FlightOperations,SpecialProcedure,FlightSoftware,Function_Algorithm
FlightOperations,NormalActivity,None_Unknown,Unknown
FlightOperations,SpecialProcedure,InformationDevelopment,Procedures
FlightOperations,SpecialProcedure,FlightSoftware,Timing
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,HardwareFailure,Hardware,Hardware
SystemTest,HardwareConfiguration,Hardware,Hardware
FlightOperations,Recovery,FlightSoftware,Assignment_Initialization
FlightOperations,DataAccess_Delivery,FlightSoftware,Timing
FlightOperations,SpecialProcedure,GroundSoftware,Timing
FlightOperations,DataAccess_Delivery,None_Unknown,Unknown
FlightOperations,DataAccess_Delivery,None_Unknown,Unknown
FlightOperations,DataAccess_Delivery,None_Unknown,Unknown
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,GroundSoftware,Assignment_Initialization
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,GroundSoftware,Timing
FlightOperations,DataAccess_Delivery,GroundSoftware,Timing
FlightOperations,DataAccess_Delivery,GroundSoftware,Timing
FlightOperations,DataAccess_Delivery,GroundSoftware,Timing
FlightOperations,DataAccess_Delivery,GroundSoftware,Interfaces
FlightOperations,Recovery,FlightSoftware,Timing
SystemTest,Inspection_Review,FlightSoftware,FlightRule
SystemTest,Inspection_Review,FlightSoftware,Function_Algorithm
SystemTest,Inspection_Review,InformationDevelopment,Procedures
Unknown,Unknown,InformationDevelopment,Procedures
SystemTest,Inspection_Review,FlightSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,None_Unknown,NothingFixed
FlightOperations,DataAccess_Delivery,GroundSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,GroundSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,GroundSoftware,Function_Algorithm
SystemTest,SoftwareConfiguration,FlightSoftware,Assignment_Initialization
SystemTest,Inspection_Review,FlightSoftware,Assignment_Initialization
SystemTest,HardwareConfiguration,InformationDevelopment,Procedures
Unknown,Unknown,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
SystemTest,HardwareConfiguration,InformationDevelopment,Documentation
Unknown,Unknown,InformationDevelopment,Procedures
SystemTest,Start_Restart_Shutdown,GroundSoftware,Assignment_Initialization
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
SystemTest,SoftwareConfiguration,BuildPackage,Installationdependency
FlightOperations,SpecialProcedure,InformationDevelopment,Procedures
SystemTest,Inspection_Review,GroundSoftware,Function_Algorithm
SystemTest,SoftwareConfiguration,GroundSoftware,Assignment_Initialization
SystemTest,SoftwareConfiguration,None_Unknown,NothingFixed
SystemTest,HardwareConfiguration,Hardware,Hardware
SystemTest,Start_Restart_Shutdown,GroundSoftware,Assignment_Initialization
SystemTest,SoftwareConfiguration,InformationDevelopment,Procedures
SystemTest,SoftwareConfiguration,GroundSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,FlightSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,None_Unknown,NothingFixed
SystemTest,HardwareConfiguration,Hardware,Hardware
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,GroundSoftware,Timing
FlightOperations,DataAccess_Delivery,GroundSoftware,Timing
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,Recovery,FlightSoftware,Timing
FlightOperations,NormalActivity,FlightSoftware,Timing
SystemTest,Inspection_Review,FlightSoftware,Timing
FlightOperations,DataAccess_Delivery,None_Unknown,NothingFixed
FlightOperations,DataAccess_Delivery,None_Unknown,NothingFixed
FlightOperations,NormalActivity,None_Unknown,NothingFixed
FlightOperations,HardwareFailure,None_Unknown,NothingFixed
FlightOperations,DataAccess_Delivery,None_Unknown,NothingFixed
FlightOperations,SpecialProcedure,FlightSoftware,Timing
SystemTest,HardwareConfiguration,FlightSoftware,Assignment_Initialization
FlightOperations,NormalActivity,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,GroundSoftware,Interfaces
FlightOperations,DataAccess_Delivery,None_Unknown,NothingFixed
FlightOperations,DataAccess_Delivery,GroundSoftware,Assignment_Initialization
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,None_Unknown,NothingFixed
FlightOperations,DataAccess_Delivery,GroundSoftware,Interfaces
SystemTest,HardwareConfiguration,FlightSoftware,Interfaces
FlightOperations,Recovery,None_Unknown,NothingFixed
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,GroundSoftware,Interfaces
FlightOperations,HardwareFailure,FlightSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,InformationDevelopment,Documentation
FlightOperations,DataAccess_Delivery,None_Unknown,Unknown
SystemTest,SoftwareConfiguration,GroundSoftware,Assignment_Initialization
Unknown,Unknown,None_Unknown,NothingFixed
SystemTest,SoftwareConfiguration,BuildPackage,Installdependency
SystemTest,HardwareConfiguration,GroundSoftware,Function_Algorithm
SystemTest,HardwareConfiguration,GroundSoftware,Function_Algorithm
FlightOperations,SpecialProcedure,FlightSoftware,Assignment_Initialization
FlightOperations,HardwareFailure,FlightSoftware,Assignment_Initialization
FlightOperations,Recovery,FlightSoftware,Function_Algorithm
FlightOperations,Recovery,FlightSoftware,Assignment_Initialization
FlightOperations,NormalActivity,FlightSoftware,Assignment_Initialization
SystemTest,SoftwareConfiguration,GroundResources,ResourceConflict
SystemTest,Start_Restart_Shutdown,GroundSoftware,Function_Algorithm
SystemTest,HardwareConfiguration,GroundSoftware,Assignment_Initialization
FlightOperations,NormalActivity,InformationDevelopment,Procedures
FlightOperations,NormalActivity,InformationDevelopment,Procedures
SystemTest,Start_Restart_Shutdown,GroundSoftware,Assignment_Initialization
SystemTest,SoftwareConfiguration,InformationDevelopment,Procedures
SystemTest,SoftwareConfiguration,InformationDevelopment,Procedures
FlightOperations,HardwareFailure,None_Unknown,NothingFixed
FlightOperations,SpecialProcedure,FlightSoftware,Assignment_Initialization
FlightOperations,HardwareFailure,InformationDevelopment,Procedures
FlightOperations,HardwareFailure,InformationDevelopment,Procedures
SystemTest,SoftwareConfiguration,InformationDevelopment,Procedures
FlightOperations,HardwareFailure,GroundResources,ResourceConflict
FlightOperations,NormalActivity,GroundSoftware,Timing
SystemTest,SoftwareConfiguration,None_Unknown,Unknown
SystemTest,SoftwareConfiguration,BuildPackage,PackagingScript
FlightOperations,DataAccess_Delivery,GroundSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,GroundSoftware,Interfaces
FlightOperations,DataAccess_Delivery,GroundSoftware,Interfaces
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
SystemTest,SoftwareConfiguration,GroundSoftware,Function_Algorithm
SystemTest,CmdSeqTest,GroundSoftware,Assignment_Initialization
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
SystemTest,HardwareConfiguration,Hardware,Hardware
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,NormalActivity,InformationDevelopment,Procedures
SystemTest,HardwareConfiguration,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,GroundSoftware,Assignment_Initialization
FlightOperations,NormalActivity,InformationDevelopment,Procedures
FlightOperations,SpecialProcedure,FlightSoftware,Assignment_Initialization
FlightOperations,HardwareFailure,FlightSoftware,Assignment_Initialization
SystemTest,SoftwareConfiguration,BuildPackage,Installdependency
FlightOperations,NormalActivity,InformationDevelopment,Procedures
FlightOperations,DataAccess_Delivery,None_Unknown,NothingFixed
FlightOperations,DataAccess_Delivery,InformationDevelopment,Procedures
FlightOperations,SpecialProcedure,None_Unknown,NothingFixed
SystemTest,SoftwareConfiguration,GroundSoftware,Interfaces
FlightOperations,HardwareFailure,FlightSoftware,Function_Algorithm
SystemTest,Inspection_Review,FlightSoftware,Assignment_Initialization
FlightOperations,Recovery,FlightSoftware,Function_Algorithm
FlightOperations,HardwareFailure,FlightSoftware,Assignment_Initialization
FlightOperations,Recovery,FlightSoftware,Timing
SystemTest,HardwareConfiguration,None_Unknown,NothingFixed
FlightOperations,Recovery,FlightSoftware,Assignment_Initialization
FlightOperations,Recovery,FlightSoftware,Function_Algorithm
FlightOperations,Recovery,FlightSoftware,Function_Algorithm
SystemTest,Inspection_Review,None_Unknown,NothingFixed
FlightOperations,HardwareFailure,Hardware,Hardware
Unknown,Unknown,None_Unknown,Unknown
FlightOperations,DataAccess_Delivery,None_Unknown,Unknown
FlightOperations,DataAccess_Delivery,None_Unknown,Unknown
FlightOperations,DataAccess_Delivery,None_Unknown,NothingFixed
FlightOperations,DataAccess_Delivery,FlightSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,FlightSoftware,Function_Algorithm
FlightOperations,DataAccess_Delivery,FlightSoftware,Function_Algorithm
FlightOperations,SpecialProcedure,None_Unknown,NothingFixed
